so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag,absdev,pct,dist_nearest_list
S00130,878.0,[0878] SS EXTRA PROTECCION API,2026-03-20,USD,USD,93.1,72.0,mar12,72.0,90.0,por_encima,21.099999999999994,29.305555555555546,3.0999999999999943
S00130,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-20,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00130,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-20,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00139,83.0,[0083] MAXIMO API CF SAE 50 (P,2026-03-23,USD,USD,69.828,81.0,mar12,81.0,102.0,por_debajo,11.171999999999997,-13.79259259259259,11.171999999999997
S00133,878.0,[0878] SS EXTRA PROTECCION API,2026-03-24,USD,USD,93.1,72.0,mar12,72.0,90.0,por_encima,21.099999999999994,29.305555555555546,3.0999999999999943
S00133,144.0,[0144] HIDRAGLOB AW/ISO 68 (PA,2026-03-24,USD,USD,94.4,73.0,mar12,73.0,91.0,por_encima,21.400000000000006,29.315068493150694,3.4000000000000057
S00141,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-24,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00143,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-24,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00142,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-24,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00142,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-24,USD,USD,39.46,36.0,mar12,36.0,45.0,por_encima,3.460000000000001,9.611111111111112,3.460000000000001
S00148,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-25,USD,USD,31.1,36.0,mar12,36.0,45.0,por_debajo,4.899999999999999,-13.611111111111107,4.899999999999999
S00150,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-25,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00157,879.0,[0879] CARIBE FUERA DE BORDA T,2026-03-26,USD,USD,84.05,65.0,mar12,65.0,81.0,por_encima,19.049999999999997,29.3076923076923,3.049999999999997
S00158,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-26,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00158,878.0,[0878] SS EXTRA PROTECCION API,2026-03-26,USD,USD,93.1,72.0,mar12,72.0,90.0,por_encima,21.099999999999994,29.305555555555546,3.0999999999999943
S00159,878.0,[0878] SS EXTRA PROTECCION API,2026-03-26,USD,USD,93.1,72.0,mar12,72.0,90.0,por_encima,21.099999999999994,29.305555555555546,3.0999999999999943
S00159,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-26,USD,USD,55.6,31.0,mar12,31.0,38.0,por_encima,24.6,79.35483870967742,17.6
S00163,877.0,[0877] SS EXTRA PROTECCION API,2026-03-27,USD,USD,92.7198,72.0,mar12,72.0,96.0,por_encima,20.719800000000006,28.77750000000001,3.2801999999999936
S00164,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-27,USD,USD,39.46,36.0,mar12,36.0,45.0,por_encima,3.460000000000001,9.611111111111112,3.460000000000001
