so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag
S00511,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-05,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00511,915.0,[0915] SINOCO SAE 50 (1x12),2026-06-05,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00511,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-06-05,Sin Pago,INDETERMINADA,51.72,,,36.0,45.0,lista_indeterminada
S00511,603.0,[0603] SINOCO SAE 50 (Tambor),2026-06-05,Sin Pago,INDETERMINADA,925.73,,,,,lista_indeterminada
S00511,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-06-05,Sin Pago,INDETERMINADA,53.05,,,36.0,45.0,lista_indeterminada
S00512,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-06-05,Sin Pago,INDETERMINADA,95.49,,,67.0,83.0,lista_indeterminada
S00513,877.0,[0877] SS EXTRA PROTECCION API,2026-06-05,USD,USD,65.5172,72.0,mar12,72.0,96.0,por_debajo
S00514,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-06-05,Sin Pago,INDETERMINADA,51.72,,,36.0,45.0,lista_indeterminada
S00515,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-05,Sin Pago,INDETERMINADA,90.19,,,66.0,82.0,lista_indeterminada
S00515,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-06-05,Sin Pago,INDETERMINADA,72.94,,,46.0,58.0,lista_indeterminada
S00515,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-06-05,Sin Pago,INDETERMINADA,95.49,,,67.0,83.0,lista_indeterminada
S00515,561.0,[0561] MEJORADOR DE OCTANAJE G,2026-06-05,Sin Pago,INDETERMINADA,51.72,,,34.0,43.0,lista_indeterminada
S00516,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-05,Sin Pago,INDETERMINADA,90.19,,,66.0,82.0,lista_indeterminada
S00516,877.0,[0877] SS EXTRA PROTECCION API,2026-06-05,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00518,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-08,USD,USD,70.29,,,,,producto_sin_lista
S00517,25.0,[0025] SS EXTRA PROTECCION API,2026-06-08,Sin Pago,INDETERMINADA,50.4,,,36.0,45.0,lista_indeterminada
S00520,877.0,[0877] SS EXTRA PROTECCION API,2026-06-08,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00520,,Descuento ,2026-06-08,Sin Pago,INDETERMINADA,-4.0584,,,,,lista_indeterminada
S00520,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-06-08,Sin Pago,INDETERMINADA,34.48,,,24.0,29.0,lista_indeterminada
S00522,141.0,[0141] HIDRAGLOB AW/ISO 46 (Ta,2026-06-08,Sin Pago,INDETERMINADA,1232.1,,,905.0,1131.0,lista_indeterminada
S00524,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-09,nan,INDETERMINADA,85.5428,,,63.0,79.0,lista_indeterminada
S00525,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-09,USD,USD,85.5428,63.0,mar12,63.0,79.0,por_encima
S00523,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-09,Sin Pago,INDETERMINADA,85.5428,,,63.0,79.0,lista_indeterminada
S00523,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-09,Sin Pago,INDETERMINADA,96.0707,,,,,lista_indeterminada
S00523,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-09,Sin Pago,INDETERMINADA,96.0707,,,,,lista_indeterminada
S00523,880.0,[0880] CLASICO API SL SAE 15W-,2026-06-09,Sin Pago,INDETERMINADA,85.5428,,,62.0,78.0,lista_indeterminada
S00526,25.0,[0025] SS EXTRA PROTECCION API,2026-06-09,Sin Pago,INDETERMINADA,50.0099,,,36.0,45.0,lista_indeterminada
S00528,7.0,[0007] ELITE API SN SAE 5W-20 ,2026-06-09,Sin Pago,INDETERMINADA,47.4138,,,46.0,58.0,lista_indeterminada
S00519,603.0,[0603] SINOCO SAE 50 (Tambor),2026-06-09,Sin Pago,INDETERMINADA,925.73,,,,,lista_indeterminada
S00519,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-09,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00519,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-09,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00529,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-09,Sin Pago,INDETERMINADA,89.492,,,66.0,82.0,lista_indeterminada
S00530,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-06-09,Sin Pago,INDETERMINADA,40.7918,,,31.0,38.0,lista_indeterminada
S00530,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-09,Sin Pago,INDETERMINADA,96.0707,,,,,lista_indeterminada
S00530,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-09,Sin Pago,INDETERMINADA,96.0707,,,,,lista_indeterminada
S00530,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-09,Sin Pago,INDETERMINADA,35.5328,,,26.0,33.0,lista_indeterminada
S00531,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-09,Sin Pago,INDETERMINADA,89.492,,,66.0,82.0,lista_indeterminada
S00533,915.0,[0915] SINOCO SAE 50 (1x12),2026-06-10,Sin Pago,INDETERMINADA,69.1376,,,,,lista_indeterminada
S00533,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-10,Sin Pago,INDETERMINADA,69.1376,,,,,lista_indeterminada
S00534,877.0,[0877] SS EXTRA PROTECCION API,2026-06-10,Sin Pago,INDETERMINADA,99.1474,,,72.0,96.0,lista_indeterminada
S00532,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-06-10,Sin Pago,INDETERMINADA,33.3322,,,24.0,29.0,lista_indeterminada
